t,x
7.035,-0.109895
7.04,-0.125333
7.045,-0.141107
7.05,-0.156434
7.055,-0.172181
7.06,-0.187381
7.065,-0.203084
7.07,-0.218143
7.075,-0.233787
7.08,-0.24869
7.085,-0.264259
7.09,-0.278991
7.095,-0.294471
7.1,-0.309017
7.105,-0.324391
7.11,-0.338738
7.115,-0.353992
7.12,-0.368125
7.125,-0.383243
7.13,-0.397148
7.135,-0.412116
7.14,-0.425779
7.145,-0.440583
7.15,-0.45399
7.155,-0.468614
7.16,-0.481754
7.165,-0.496184
7.17,-0.509041
7.175,-0.523263
7.18,-0.535827
7.185,-0.549826
7.19,-0.562083
7.195,-0.575847
7.2,-0.587785
7.205,-0.601299
7.21,-0.612907
7.215,-0.626157
7.22,-0.637424
7.225,-0.650398
7.23,-0.661312
7.235,-0.673997
7.24,-0.684547
7.245,-0.696931
7.25,-0.707107
7.255,-0.719177
7.26,-0.728969
7.265,-0.740713
7.27,-0.750111
7.275,-0.761519
7.28,-0.770513
7.285,-0.781572
7.29,-0.790155
7.295,-0.800855
7.3,-0.809017
7.305,-0.819347
7.31,-0.827081
7.315,-0.83703
7.32,-0.844328
7.325,-0.853888
7.33,-0.860742
7.335,-0.869902
7.34,-0.876307
